npcname_JP.	脱走機械『ガージンド』
npcname_EN.	<Jin> the machine rebel
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「安全な場所などないのか？」
flavorpassive_JP.1	「私は機能不全など起こしていない…はずだ」
flavorpassive_JP.2	「この星は、一体」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「警告。発砲するぞ」
flavorangered_JP.1	「理解に苦しむ」
flavorangered_JP.2	「やはり私はこの星にとって異物なのだろうか」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「違う…私は欠陥品ではない」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「あまり戦闘力の高い個体ではなかったようだ」
flavorkill_JP.1	「これは正しい選択だったのだろうか？」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
