npcname_JP.	丘の民
npcname_EN.	hill citizen
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「力比べといこうか」
flavorangered_JP.1	「小さいからって！」
flavorangered_JP.2	「小さいって言うな！」
numflavor_deathJP.	4
numflavor_deathEN.	4
flavordeath_JP.0	「ぐええ」
flavordeath_JP.1	「なんてこったい」
flavordeath_JP.2	「うぐうっ！？」
flavordeath_JP.3	「なぜ…？」
flavordeath_EN.0	"Go to hell!"
flavordeath_EN.1	"I give up."
flavordeath_EN.2	"Nooooo..."
flavordeath_EN.3	"Why me."
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「丘の民パワー」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
