npcname_JP.	異邦の研鑽者『イルマ』
npcname_EN.	<Irma> the indomitable smith
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「ご先祖様、見ていてくだされ」
flavorpassive_JP.1	「わしの喋り方は時代遅れじゃとな…」
flavorpassive_JP.2	「どうも余所余所しいのう」
flavorpassive_EN.0	"Ancestors, please watch over me."
flavorpassive_EN.1	"My speech must seem so strange..."
flavorpassive_EN.2	"Everyone is so distant..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「そんな装備で大丈夫かのう？」
flavorangered_JP.1	「これでも鍛えとるんじゃ」
flavorangered_JP.2	「やられる前にやってみるぞ！」
flavorangered_EN.0	"Think you'll be okay in that equipment?"
flavorangered_EN.1	"This is training too."
flavorangered_EN.2	"Think before you act!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「いじめはよくないと思うんじゃが」
flavordeath_EN.0	"Bullying is bad."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「生涯現役じゃ！」
flavorkill_JP.1	「もっと物を使いこなさんか！」
flavorkill_EN.0	"I'll never retire!"
flavorkill_EN.1	"Another discipline mastered!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
