npcname_JP.	丘の識者
npcname_EN.	wise hill citizen
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「まだこの集落は遅れている」
flavorpassive_JP.1	「世間に取り残されるのでは…」
flavorpassive_JP.2	「このままではいけない」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「邪魔」
flavorangered_JP.1	「やらせるか！」
flavorangered_JP.2	「ひどいもんだ」
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「わからない」
flavordeath_JP.1	「知識が足りなかった…」
flavordeath_JP.2	「ダメか」
flavordeath_EN.0	"Go to hell!"
flavordeath_EN.1	"I give up."
flavordeath_EN.2	"Nooooo..."
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ひとつ勉強になった」
flavorkill_JP.1	「終わった…？」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
