npcname_JP.	《守護のロヴィト》
npcname_EN.	<Rovid>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「ただ一枚の盾として！」
flavorangered_JP.1	「この身を貫けるものですか」
flavorangered_JP.2	「全てはジュア様のために…」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「その力、危険ですね」
flavordeath_JP.1	「自分の命すら守れないとは…！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「この勝利、ジュア様に捧げます」
flavorkill_JP.1	「私の身は盾であり鉾でもあります」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「自宅防衛については問題ありません」
