npcname_JP.	《歌踊のカラヴィカ》
npcname_EN.	<Karavika>
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「ときめくぜっ」
flavorpassive_JP.1	「みんな～」
flavorpassive_JP.2	「おひねりもよろしく！」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「もっと情熱的に！」
flavorangered_JP.1	「さぁ、無様に踊れ」
flavorangered_JP.2	「テンションあがってきたー！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「あたしの命の音が消えた…？」
flavordeath_JP.1	「あれ？アンコールは？」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「いやっほう！」
flavorkill_JP.1	「応援、ありがと～」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おーかえりなっさいー♪」
