npcname_JP.	《剛石のウリカグアル》
npcname_EN.	<Urcaguary>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「こやつめ！フハハ！」
flavorangered_JP.1	「どんとこい！」
flavorangered_JP.2	「だらっしゃあああああ！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「フハハ、このくらいツバつけとけば治る」
flavordeath_JP.1	「くっ！殺せ！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「こらこら、それくらいのことで死ぬな」
flavorkill_JP.1	「もっと肉を食え、肉を」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「なんだその疲れた顔は！休め！！」
