npcname_JP.	宇宙を望む『クロヤ』
npcname_EN.	<Kuroya> the looking universe
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「宇宙は広いと聞くね」
flavorpassive_JP.1	「もうあの頃には戻れない、か…」
flavorpassive_JP.2	「あいつは元気でやっているかね」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「こうして戦っている間は若返ったような気がするね」
flavorangered_JP.1	「ふっ、焦りすぎだよ」
flavorangered_JP.2	「これは骨が折れそうだ」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「老いた、な」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「僕もまだ捨てたもんじゃないねぇ」
flavorkill_JP.1	「まぁこんなとこかな」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
