npcname_JP.	灼熱の獅子
npcname_EN.	blaze lion
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「ガルルル…」
flavorpassive_EN.0	"Grrrr..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ガウッ」
flavorangered_JP.1	「ガルル！」
flavorangered_EN.0	"*Growl*"
flavorangered_EN.1	"Grr...!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ガオ！」
flavorkill_JP.1	「やる気満々だぜぇぇぇ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
