npcname_JP.	バーテンダー
npcname_EN.	bartender
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	カクテルをシェイクする音が聞こえる。
flavorpassive_JP.1	「一杯どうだい？」
flavorpassive_JP.2	「年季物のクリムエールがあるよ」
flavorpassive_JP.3	酒場は多くの人でにぎわっている。
flavorpassive_EN.0	You hear the sound of cocktail shakers.
flavorpassive_EN.1	"How 'bout a drink sir?"
flavorpassive_EN.2	"We got vintage crim ales."
flavorpassive_EN.3	The bar is crowded with people.
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「この酔っ払いめ！」
flavorangered_JP.1	「悪酔いはいけませんよ」
flavorangered_EN.0	"Hey, stop it drunkard."
flavorangered_EN.1	"Are you sick from drinking too much?"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「酔っ払いごときに…」
flavordeath_JP.1	「ふざけた運命だ」
flavordeath_EN.0	"I got killed by a drunkard."
flavordeath_EN.1	"This is ridiculous."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「酔いは覚めましたか？」
flavorkill_EN.0	"Sober up now huh?"
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「お帰りですか。美味い酒を用意してありますよ」
flavorwelcome_JP.1	「お疲れだったでしょう。冷酒でもどうですか」
flavorwelcome_EN.0	"Welcome home. I've got some decent ales for you."
flavorwelcome_EN.1	"Are you tired? How'bout a drink?"
