npcname_JP.	宇宙ミミズク
npcname_EN.	space horned owl
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「ボク、トモダチ」
flavorpassive_JP.1	「ナデナデシテー」
flavorpassive_JP.2	「オナラシチャッタ…」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「ボク、オナカスイター」
flavorangered_JP.1	「ウワアアオ！ウワアアアオ！」
flavorangered_JP.2	「ドゥー！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「ヘギョミツ」
flavordeath_JP.1	「モルスァ」
flavordeath_JP.2	「ングァーヌッス！ングァーヌッス！ウイイィィィ…ホホフリャ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「モグモグ」
flavorkill_JP.1	「オヤツ、チョウダイ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
