npcname_JP.	ルビーカーバンクル
npcname_EN.	ruby carbuncle
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「ミャア」
flavorpassive_JP.1	「にゃ」
flavorpassive_JP.2	「ミャ」
flavorpassive_JP.3	「にゅぅ」
flavorpassive_JP.4	「ニャア」
flavorpassive_EN.0	"Meow"
flavorpassive_EN.1	"Mew"
flavorpassive_EN.2	"Mew mew"
flavorpassive_EN.3	"Mew!"
flavorpassive_EN.4	"Mewl"
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「ニャー！」
flavorangered_JP.1	「ニャウ！」
flavorangered_JP.2	「ニャン！」
flavorangered_JP.3	「ゥニャ！」
flavorangered_EN.0	"Meow!"
flavorangered_EN.1	"Mew mew!"
flavorangered_EN.2	"Mew!"
flavorangered_EN.3	"Meow"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	5
numflavor_killEN.	5
flavorkill_JP.0	 *ふしゅぅ* 
flavorkill_JP.1	「ニャァー！」
flavorkill_JP.2	「にゃー」
flavorkill_JP.3	「ゥニャ！」
flavorkill_JP.4	爪を研ぐ音が聞こえる。
flavorkill_EN.0	 *fwhoosh* 
flavorkill_EN.1	"Meoww!"
flavorkill_EN.2	"Meow"
flavorkill_EN.3	"Oo-meow!"
flavorkill_EN.4	You hear the sound of claws being sharpened.
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりニャン！」
flavorwelcome_EN.0	Welcome homeow!
