npcname_JP.	傭兵
npcname_EN.	mercenary
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「なにしやがる！」
flavorangered_JP.1	「この野郎」
flavorangered_JP.2	「今更謝っても遅いぞ」
flavorangered_JP.3	「なめやがって」
flavorangered_JP.4	「上等だ！」
flavorangered_JP.5	「かかってこい、おらぁ」
flavorangered_JP.6	「指一本触れて見やがれ」
flavorangered_EN.0	"What the hell!"
flavorangered_EN.1	"You will regret this."
flavorangered_EN.2	"Okay, no turning back now."
flavorangered_EN.3	"Now you die!"
flavorangered_EN.4	"Come on, chicken."
flavorangered_EN.5	"Huh."
flavorangered_EN.6	"You touch me, you die."
numflavor_deathJP.	7
numflavor_deathEN.	7
flavordeath_JP.0	「貴様…覚えていろ」
flavordeath_JP.1	「うわぁぁ」
flavordeath_JP.2	「人殺し！」
flavordeath_JP.3	「やめろー」
flavordeath_JP.4	「次があるとは思うなよ」
flavordeath_JP.5	「ひぃー」
flavordeath_JP.6	「命だけは助けてくれー」
flavordeath_EN.0	"You... you will pay for this someday..."
flavordeath_EN.1	"Nooo!"
flavordeath_EN.2	"A murderer!"
flavordeath_EN.3	"Stop it!"
flavordeath_EN.4	"F-forgive me..."
flavordeath_EN.5	"Arrr--rr..."
flavordeath_EN.6	"D-don't!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「いいざまだ」
flavorkill_JP.1	「出直して来い」
flavorkill_EN.0	"Look at you."
flavorkill_EN.1	"Bye bye."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
