npcname_JP.	パルミア王『ジャビ』
npcname_EN.	<Xabi> the king of Palmia
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「おお、乱心者だ！」
flavorangered_JP.1	「近衛兵、何をしている。奴をとらえよ！」
flavorangered_JP.2	「血迷ったか！」
flavorangered_EN.0	"Ah, a lunatic!"
flavorangered_EN.1	"Guards, what are you doing?! Arrest this person!"
flavorangered_EN.2	"Have you gone mad?!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「役に立たない兵どもだ」
flavordeath_EN.0	"Useless guards."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「愚か者め」
flavorkill_EN.0	"Fool."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
