npcname_JP.	抑圧されし災厄『レナイ』
npcname_EN.	<Renai> the over meshera
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「気を抜くと身体から触手が出ちゃうの嫌だな」
flavorpassive_JP.1	「兄さんったら過保護だから」
flavorpassive_JP.2	「な、なんだか身体の調子が…」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「戦うしかない…本当にそうなの？」
flavorangered_JP.1	「だ、だめ！これ以上力を入れたら人の形を保てない！」
flavorangered_JP.2	「望んで手に入れた力じゃないけれど、今は…」
flavorangered_JP.3	「もう、戦わずに好き勝手されるのは嫌！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「気の遠くなるくらい激痛が続くのに比べれば…」
flavordeath_JP.1	「兄さん…ごめん…ね」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「こんな力…どう使えばいいの」
flavorkill_JP.1	「あ…わたし、本当にもう人間じゃないんだ…」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
