npcname_JP.	面忘の獅子
npcname_EN.	mad scratcher
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「ガルルル…」
flavorpassive_JP.1	何かを掻き毟る音が聞こえる。
flavorpassive_EN.0	"Grrrr..."
flavorpassive_EN.1	You can hear something making scratching noises.
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ガウッ」
flavorangered_JP.1	「ガルル！」
flavorangered_EN.0	"*Growl*"
flavorangered_EN.1	"Grr...!"
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ガウ…ァ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ア…ア…」
flavorkill_JP.1	「ガウゥ…」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
