npcname_JP.	記憶の抜け殻
npcname_EN.	memory empty man
numflavor_passiveJP.	2
numflavor_passiveEN.	0
flavorpassive_JP.0	「アア…ウ…」
flavorpassive_JP.1	「ウア…」
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「…」
flavorangered_JP.1	「アー…」
flavorangered_EN.0	"..."
flavorangered_EN.1	"Aa..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「…」
flavordeath_EN.0	"..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「…」
flavorkill_EN.0	"..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
