npcname_JP.	キュウリー武人
npcname_EN.	cucumber warrior
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「武人の誇りにかけて、真っ向勝負で参る！」
flavorangered_JP.1	「この身がしなびようとも、戦いぬいてくれるわ！」
flavorangered_JP.2	「必ずやキュウリ族に勝利を！」
flavorangered_JP.3	「今こそ戦場を駆ける時！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「見事…だ！」
flavordeath_JP.1	「これぞ武人の生き様よ！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「これも定めだ…許せ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
