npcname_JP.	エンタメイド・デスイーパー
npcname_EN.	performaid desweeper
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「余興は始まったばかり…」
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「あくまでメイドですから」
flavorkill_EN.0	"You see I am simply one hell of a maid"
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「おかえりなさいませ、%syujin%…」
flavorwelcome_JP.1	「ふふ…退屈ではありませんでしたか？」
flavorwelcome_EN.0	"Welcome back, %syujin%..."
flavorwelcome_EN.1	"Fufu... Wasn't that boring?"
