npcname_JP.	謎のお洒落忍者『シャドウシスター』
npcname_EN.	<Fashionable Kunoichi>
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「僕は自由だー！」
flavorpassive_JP.1	「もうちょっとヒラヒラ付け足そうかな」
flavorpassive_JP.2	「シャドウシスター推参ッ☆」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「見よ、このヒラヒラに仕込んだ暗器の数々をー！」
flavorangered_JP.1	「お洒落殺法の餌食だ！」
flavorangered_JP.2	「もう忍んでる場合じゃない！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ライエエエ！？」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「闇に紛れて悪を討つ！というか討った！」
flavorkill_JP.1	「いぇーい！兄さん見てるー？」
flavorkill_JP.2	「闇に紛れて悪を討つ…謎のお洒落忍者！シャドウ…シスター！あ、今のフルね」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
