npcname_JP.	甲殻王者『キングダンゴムシ』
npcname_EN.	<Shell King of Vindale>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「大丈夫か…？」
flavorpassive_JP.1	「我こそは蟲の王者」
flavorpassive_EN.0	"Are you okay...?"
flavorpassive_EN.1	"I am the king of insects."
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「落ち着け」
flavorangered_EN.0	"Calm down."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「うわ、めっちゃこれ痛い。死ぬ」
flavordeath_EN.0	"Wow. Dying really hurts."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ラン♪ランララ♪ランランラン♪」
flavorkill_JP.1	「おしまい」
flavorkill_EN.0	"La♪Lanlala♪Lanlanla♪"
flavorkill_EN.1	"It's over."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
