npcname_JP.	冒険商人『メニティア』
npcname_EN.	<Manytia> the adventure merchant
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「寄ってらっしゃい、見てらっしゃいです」
flavorpassive_JP.1	「お金は使ってこそですよぉ」
flavorpassive_JP.2	「儲けるためには冒険も必要ですねぇ」
flavorpassive_EN.0	"Welcome! Take a look at what I've got for sale."
flavorpassive_EN.1	"Money is pointless if you don't use it!"
flavorpassive_EN.2	"I've got everything adventurers need to succeed!"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「対話ができない方ですかぁ？」
flavorangered_JP.1	「他人の争いはビジネスになるんですがねぇ」
flavorangered_JP.2	「自分で戦うからには、リターンが欲しいですねぇ」
flavorangered_EN.0	"You're the type that can't talk things out, huh?"
flavorangered_EN.1	"Other people fighting is good for business, but..."
flavorangered_EN.2	"Since I have to fight myself, I want to get something out of it."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「大損失ですよぉ…」
flavordeath_EN.0	"I'm in the red..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ビジネス・キルですねぇ」
flavorkill_JP.1	「なんか弱くないですかぁ？」
flavorkill_EN.0	"It's just business."
flavorkill_EN.1	"Pretty weak, aren't you?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
