npcname_JP.	妄想少女『リアナ』
npcname_EN.	<Rianna> the daydreamer
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「ヴェセルにはあたしが必要なんだから」
flavorpassive_JP.1	「ヴェセルにはウフフ…」
flavorpassive_JP.2	「ヴェセル…」
flavorpassive_EN.0	"My poor Bethel needs me."
flavorpassive_EN.1	"Bethel... *sob*"
flavorpassive_EN.2	"Bethel..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「直接戦闘だけは勘弁してほしいわ」
flavorangered_JP.1	「裏工作とか後方支援は得意なんだけど…」
flavorangered_JP.2	「助けてヴェセルー！」
flavorangered_EN.0	"Sorry, I'm not good at direct battles."
flavorangered_EN.1	"I'm good at pulling strings or dealing with logistics, but..."
flavorangered_EN.2	"Help me, Bethel!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「いやぁん！」
flavordeath_JP.1	「せめて…ヴェセルの腕の中で…！」
flavordeath_EN.0	"Noo!"
flavordeath_EN.1	"I at least wanted... In Bethel's arms..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「この活躍を見たらヴェセルは…」
flavorkill_JP.1	「鍛え方が足りないのよ」
flavorkill_EN.0	"If Bethel saw this..."
flavorkill_EN.1	"You need to train more."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
