npcname_JP.	大型バイク
npcname_EN.	large bike
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	 *ボ ボ ボ* 
flavorpassive_JP.1	 *プスン* 
flavorpassive_EN.0	* Bo-Bo-Bo* 
flavorpassive_EN.1	 *Pusss* 
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	 *ブロロロロ* 
flavorangered_JP.1	 *ブォォォン* 
flavorangered_EN.0	 *Bro-Ro-Ro* 
flavorangered_EN.1	 *Pusss* 
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	 *ぷすん* 
flavordeath_EN.0	 *Pan* 
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
