npcname_JP.	有閑鉱山王『ジシリオン』
npcname_EN.	<Zisilion> the mine king
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「労働者愛でるべし」
flavorpassive_JP.1	「暇だ…」
flavorpassive_JP.2	「暇だな…」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「荒事は得意じゃないんだけどな」
flavorangered_JP.1	「タダ働きっていうのが一番嫌いなのさ！」
flavorangered_JP.2	「命の価値ってどのくらいが妥当だろうね？」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「強盗殺人は労働なのか…？」
flavordeath_JP.1	「なんて心が貧しいのだろう」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「どうだったかな、僕の働きは？」
flavorkill_JP.1	「いい汗をかいたよ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
