npcname_JP.	乞食
npcname_EN.	beggar
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「やめて下さい、旦那」
flavorangered_JP.1	「ひぃ！」
flavorangered_JP.2	「私を殺しても何の得にもならないよ」
flavorangered_JP.3	「馬鹿にするな！」
flavorangered_JP.4	「なぜこんなことを！」
flavorangered_JP.5	「暴力反対！」
flavorangered_JP.6	「ちょ、ちょっと…！」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Waaaa!"
flavorangered_EN.2	"You get nothing from killing me..."
flavorangered_EN.3	"Don't make a fool of me!"
flavorangered_EN.4	"Why are you doing this?"
flavorangered_EN.5	"A violent revolution!"
flavorangered_EN.6	"W-w-what...!"
numflavor_deathJP.	6
numflavor_deathEN.	6
flavordeath_JP.0	「殺生な！」
flavordeath_JP.1	「ぐわぁ」
flavordeath_JP.2	「なんでこんな目に…」
flavordeath_JP.3	「ひどい」
flavordeath_JP.4	「乞食だからって…」
flavordeath_JP.5	「私の人生っていったい」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"Ahhhh!"
flavordeath_EN.2	"I don't deserve this..."
flavordeath_EN.3	"It's unfair."
flavordeath_EN.4	"Beggars always cry..."
flavordeath_EN.5	"My life is pathetic."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「よわ！」
flavorkill_JP.1	「何がしたかったんだ？」
flavorkill_JP.2	「ははは！」
flavorkill_EN.0	"Weak! Weak!"
flavorkill_EN.1	"Huh?"
flavorkill_EN.2	"Ha ha ha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
