npcname_JP.	病兄
npcname_EN.	sickfull older brother
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「自分の身体の調子はよくわかっているよ」
flavorpassive_JP.1	「大丈夫…大丈夫だから」
flavorpassive_JP.2	兄は激しく咳込んで吐血している。
flavorpassive_JP.3	「大丈夫、いつも通り気分が悪いだけ…」
flavorpassive_JP.4	「うぐ…心臓がっ…！」
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「くそっ…死んで休んでいる場合じゃないのに…」
flavordeath_JP.1	「この身体が恨めしい」
flavordeath_JP.2	｢守ってやれなくて…ごめん…｣
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	あなたは今にも死にそうな兄を見て不安になった。
flavorkill_JP.1	兄は吐血しながらも精一杯の笑顔であなたの顔を覗いた。
flavorkill_JP.2	「大切な家族なんだ…守るって約束したんだ！」
flavorkill_JP.3	兄は真っ青な顔で身体を痙攣させている。
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「大丈夫か？どこも怪我はない？」
flavorwelcome_JP.1	「心配させないでほしい…な…」
flavorwelcome_JP.2	｢げほっ！げほっ！あっ…おかえり｣
