npcname_JP.	白面の『アルサピア』
npcname_EN.	<Alsapia> the murderer mask
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「お仕事か…」
flavorangered_JP.1	「殺しちゃうね」
flavorangered_JP.2	「さっさと終わらせたいの」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「死ぬほうは慣れてないんだけど」
flavordeath_JP.1	「死に顔を見られなくてよかった」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「もう殺すのも飽きたなぁ」
flavorkill_JP.1	「はやく仮面を外したいの」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりなさい、主」
