npcname_JP.	《混沌の超児》
npcname_EN.	<The Chaos Child>
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「ガルルル…」
flavorpassive_EN.0	"Grrrr..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ガウッ」
flavorangered_JP.1	「ガルル！」
flavorangered_EN.0	"*Growl*"
flavorangered_EN.1	"Grr...!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ガオー」
flavorkill_JP.1	「ガル」
flavorkill_EN.0	"Graah"
flavorkill_EN.1	"Grr"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
