npcname_JP.	少年
npcname_EN.	little boy
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「さーてどこ行く？」
flavorpassive_JP.1	「世界最強になるのが夢だ！」
flavorpassive_JP.2	「%onii%さん早く行こうよ～」
flavorpassive_JP.3	少年はせわしなく体を動かしている。
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「この勇姿を見逃さないでよ」
flavorangered_JP.1	「負けないからな」
flavorangered_JP.2	「け、結構やるじゃん」
flavorangered_JP.3	「おりゃーっ」
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「うわぁー」
flavordeath_JP.1	「ダメだってぇ！」
flavordeath_EN.0	"Nooo!"
flavordeath_EN.1	"I said stop!"
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	少年は服の汚れを気にせず喜んでいる。
flavorkill_JP.1	少年はあなたを見て得意げに笑った。
flavorkill_JP.2	「へへっ！%onii%さん、今の見た？」
flavorkill_JP.3	「よっしゃー！」
flavorkill_EN.0	The little boy brushes dust off his clothes.
flavorkill_EN.1	The little boy smiles at you.
flavorkill_EN.2	"Hehe! %onii%, did you see that?"
flavorkill_EN.3	"Take THAT!"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「んー？おかえりー」
flavorwelcome_EN.0	"Huh? Welcome..."
