npc_ID.	6
npc_sprite.	174
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	6 effect:Do Nothing 
name_JP.	かたつむり
desc_JP.	塩を体にふりかけられると体内の水分を奪われて溶けるように縮んで消えてしまう。イルヴァで最も鈍く情けない生き物でありながら今日まで絶滅していない理由は謎。
name_EN.	snail
desc_EN.	When exposed to salt, the water inside their bodies is absorbed, causing them to shrivel into nothingness. Without a doubt the most dull and pathetic creature in Irva. How the species has managed to survive is a complete mystery.
