npcname_JP.	猫嫌いの『タム』
npcname_EN.	<Tam> the cat hater
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「ひっ！」
flavorpassive_JP.1	「猫はどうしてあんなに恐ろしいのだろう」
flavorpassive_JP.2	「細い目が苦手です」
flavorpassive_EN.0	"I hate those bloody cats!"
flavorpassive_EN.1	"W-Why are cats so scary?"
flavorpassive_EN.2	"Come closer kitty, I gotta present for ya!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「うわー猫ー」
flavordeath_EN.0	"Whoa... a cat..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ふんっ！」
flavorkill_EN.0	"Hmm!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
