npcname_JP.	辺境の勇士『ギルバート大佐』
npcname_EN.	<Colonel Gilbert> the frontier warrior
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「困ったことになったぞ」
flavorpassive_JP.1	「敬礼！」
flavorpassive_JP.2	「新王国め…」
flavorpassive_JP.3	「フハハハハッ」
flavorpassive_EN.0	"Help the helpless! Crush the vileness!"
flavorpassive_EN.1	"Atten-TION! Salute!"
flavorpassive_EN.2	"For the Kingdom, we shall never fall!"
flavorpassive_EN.3	"Who's house? Mah House!"
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「撃てぇ！」
flavorangered_JP.1	「フハー！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「フハー…」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「フハハハハ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
