npcname_JP.	風を聴く者『ラーネイレ』
npcname_EN.	<Larnneire> the listener of wind
numflavor_passiveJP.	6
numflavor_passiveEN.	6
flavorpassive_JP.0	「獣に変えられた王子の童話をしっているかしら？」
flavorpassive_JP.1	痺れるほど美しいエレアの横顔にあなたは見とれた。
flavorpassive_JP.2	「この世界は今、大きく変わろうとしているの」
flavorpassive_JP.3	「ヴェルニースで見かけたあの男…まさか…」
flavorpassive_JP.4	神秘的な古代の言葉で誰かが囁いた。
flavorpassive_JP.5	「あなたはプライドが高すぎるのよ。ただでさえエレアは異端視されているのに」
flavorpassive_EN.0	"You know the fairy tale where a wicked witch transforms a dashing prince into a monster?"
flavorpassive_EN.1	The stunning beauty of the Elea's face halts your step a moment.
flavorpassive_EN.2	"The world is thrown into bedlam and chaos. We must remain strong in the face of it."
flavorpassive_EN.3	"The man we saw in Vernis, he just might be..."
flavorpassive_EN.4	Someone mutters in mysterious ancient language.
flavorpassive_EN.5	"Eleas are already being regarded as heretics; your lofty pride isn't helping, Lomias."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「なぜ戦わなければならないの？」
flavorangered_JP.1	「悪いけど、遊んでいる暇は無いの」
flavorangered_JP.2	エレアの少女は凍りつくような美しい瞳をとがらせた。
flavorangered_EN.0	"Do we really have to fight?"
flavorangered_EN.1	"Sorry, I don't have time for this."
flavorangered_EN.2	The Elean little girl has an angry look in her beautiful cold eyes.
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「うぅ…誰かが…ジャビ王に風の異変を伝えなければ…このままでは…」
flavordeath_EN.0	"A-ah... I failed my task... this world... this world will..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ごめんなさい…」
flavorkill_EN.0	"Sorry..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
