npcname_JP.	カブ
npcname_EN.	cub
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	 *ボ ボ ボ* 
flavorpassive_JP.1	 *プスン* 
flavorpassive_EN.0	 *Bo-Bo-Bo* 
flavorpassive_EN.1	 *Pusun* 
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「われぇ、いい度胸じゃぁ！」
flavorangered_JP.1	「おんどりゃぁ！」
flavorangered_EN.0	"Craaaap! You are so dead!"
flavorangered_EN.1	"You dorf, get away get away!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	 *ぷすん* 
flavordeath_EN.0	 *Pan* 
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「てつぅぅぅうううおおおおおおお！！」
flavorkill_JP.1	「よう、どうした。揉め事か？」
flavorkill_JP.2	「やっとモーターのコイルが温まって来た所だぜ」
flavorkill_EN.0	"Teeeetsuuuoooooo!!!"
flavorkill_EN.1	"Yo, what's up? A fight?"
flavorkill_EN.2	"Relax, it's gonna take some time to warm my engine up."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
