npcname_JP.	遊び人
npcname_EN.	gambler
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「くそっくそっ！」
flavorpassive_JP.1	「借金が増える…」
flavorpassive_JP.2	「まだだ！まだ金は残ってるぞ！」
flavorpassive_JP.3	「嘘だ…こんなのって」
flavorpassive_JP.4	ざわ・・・ざわ・・・
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「グッド！」
flavorangered_JP.1	「賭けるか？そちらが勝つかこちらが勝つか」
flavorangered_JP.2	「まさしく命がけだな」
flavorangered_EN.0	"Good!"
flavorangered_EN.1	"You want to play? We'll see who gets dealt the winning hand..."
flavorangered_EN.2	"Time to go all-in!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「負けた、か…」
flavordeath_JP.1	「こんなのインチキに決まってる！」
flavordeath_JP.2	「イカサマしたな！？」
flavordeath_EN.0	"I... fold..."
flavordeath_EN.1	"You must have stacked the deck!"
flavordeath_EN.2	"Were you cheating?!"
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「勝ったぞ！」
flavorkill_JP.1	「何がしたかったんだ？」
flavorkill_JP.2	「もう一勝負だ！」
flavorkill_EN.0	"I won!"
flavorkill_EN.1	"What were you trying to do?"
flavorkill_EN.2	"One more game!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
