ID	Type	JName	EName	Value
1228.ID	-	喪蝉	dying cicada	0
1227.ID	jewel	M01-真実のガーネット	M01-Garnet	0
1226.ID	jewel	M02-高貴のアメジスト	M02-Amethyst	0
1225.ID	jewel	M03-聡明のアクアマリン	M03-Aquamarine	0
1224.ID	jewel	M04-無垢のダイヤモンド	M04-Diamond	0
1223.ID	jewel	M05-誠実のエメラルド	M05-Emerald	0
1222.ID	jewel	M06-情熱のアレキサンドライト	M06-Alexandrite	0
1221.ID	jewel	M07-威厳のルビー	M07-Ruby	0
1220.ID	jewel	M08-円満のサードニクス	M08-Sardonyx	0
1219.ID	jewel	M09-慈愛のサファイア	M09-Sapphire	0
1218.ID	jewel	M10-希望のオパール	M10-Opal	0
1217.ID	jewel	M11-友情のトパーズ	M11-Topaz	0
1216.ID	jewel	M12-成功のラピスラズリ	M12-Lapis Lazuli	0
1215.ID	-	黄金蜂蜜酒	golden mead	0
1214.ID	-	黄金像	golden doll	0
1213.ID	-	浄水筒	filtration bottle	0
1212.ID	-	軍神の欠片	Chaos Fragment	0
1211.ID	-	レミードの欠片	Rehmido Fragment	0
1210.ID	-	レシマスの欠片	Lesimas Fragment	0
1209.ID	-	Ｇフィンガー	G-Finger	0
1208.ID	-	光子妖精	Photon Fairy	0
1207.ID	-	矛盾勲章	Contradiction	0
1206.ID	-	特殊重婚許可証	Bigamy Permit	0
1205.ID	mysterious machine	浮遊要塞の鍵	Floating fortress key	0
1204.ID	-	変憶結晶	memory converter	0
1203.ID	-			0
1202.ID	-			0
1201.ID	-			0
1200.ID	-			0
1199.ID	-	オペレートボード	operating board	0
1198.ID	-			0
1197.ID	-	原稿	manuscript	0
1196.ID	-	翠魔神石	green dark orb	0
1195.ID	-	蒼魔神石	blue dark orb	0
1194.ID	-	紅魔神石	crimson dark orb	0
1193.ID	-	《釣り入門》	fishing introduction	0
1192.ID	-	《依頼についてのアドバイス》	quest advice	0
1191.ID	-	記憶片	debris	0
1190.ID	deed	陸上戦艦の権利書	land battleship	0
1189.ID	deed	魔導機関車の権利書	magic locomotive	0
