npcname_JP.	パルミアの影『スラン』
npcname_EN.	<Slan> the shadow of Palmia
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「…うぅ…」
flavorpassive_JP.1	「誰か、誰かいないか？」
flavorpassive_JP.2	何者かが助けを求める声が聞こえる。
flavorpassive_EN.0	"H-help me... please..."
flavorpassive_EN.1	"Is someone there? Help me... The King must be forewarned!"
flavorpassive_EN.2	You hear cries of help echoing off the walls. They sound quite weak...
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
