npcname_JP.	カルーンの孤狼『カラム』
npcname_EN.	<Karam> the lonely wolf of Karune
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「…不覚だった…」
flavorpassive_JP.1	「こんな場所が墓場になるとは…」
flavorpassive_JP.2	何者かのうめき声が聞こえる。
flavorpassive_EN.0	"Curse my weakness! This shouldn't have happened."
flavorpassive_EN.1	"This place will be the end of me I fear."
flavorpassive_EN.2	You hear a low moan of pain somewhere
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
