npcname_JP.	少女
npcname_EN.	little girl
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「きゃぁー」
flavordeath_JP.1	「ダメぇ！」
flavordeath_EN.0	"No... noo...!"
flavordeath_EN.1	"I'm sorry I failed you."
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	少女は服のほこりをはらった。
flavorkill_JP.1	少女はあなたを見てにっこり笑った。
flavorkill_JP.2	あなたは少女に見とれた。
flavorkill_JP.3	「うふふ♪」
flavorkill_EN.0	The little girl brushes dust off her clothes.
flavorkill_EN.1	The little girl looks at you and smiles.
flavorkill_EN.2	You look admiringly at the little girl.
flavorkill_EN.3	"♪Another death. *grin*"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりなさい♪」
flavorwelcome_EN.0	"Welcome home!♪"
