npcname_JP.	妹
npcname_EN.	younger sister
numflavor_passiveJP.	6
numflavor_passiveEN.	6
flavorpassive_JP.0	「あそぼーよ%onii%ちゃんー」
flavorpassive_JP.1	「%onii%ちゃんだいすき！」
flavorpassive_JP.2	「%onii%ちゃ～ん♪！」
flavorpassive_JP.3	妹は甘えるような声を出している。
flavorpassive_JP.4	「うー…無視しないでよぉ」
flavorpassive_JP.5	「%onii%ちゃん☆」
flavorpassive_EN.0	"Let's play, %onii%!"
flavorpassive_EN.1	"I love you %onii%!"
flavorpassive_EN.2	"%onii% ♪!"
flavorpassive_EN.3	The younger sister hums happily.
flavorpassive_EN.4	"Uhmm... don't ignore me."
flavorpassive_EN.5	"%onii% ☆"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「すっごーい」
flavorangered_JP.1	「%onii%ちゃんにいいとこ見せるぞ～！」
flavorangered_JP.2	「けしとんじゃえ」
flavorangered_EN.0	"Wonderful."
flavorangered_EN.1	"I'll show you someplace nice, %onii%!"
flavorangered_EN.2	"Isn't this a pity?"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「らめぇ！」
flavordeath_JP.1	「なんでやねん」
flavordeath_EN.0	"Laame!"
flavordeath_EN.1	"Why?"
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	あなたは妹の頭をなでた。
flavorkill_JP.1	あなたは妹の姿に目を細めた。
flavorkill_JP.2	妹は上目づかいにあなたの顔を覗いた。
flavorkill_EN.0	You gently stroke the younger sister's hair.
flavorkill_EN.1	You squinted at how the younger sister looks right now.
flavorkill_EN.2	The younger sister sneaks an upward glance at your face.
numflavor_welcomeJP.	3
numflavor_welcomeEN.	3
flavorwelcome_JP.0	「おかえり、%onii%ちゃん！」
flavorwelcome_JP.1	「おかえりなさーい、%onii%ちゃん♪」
flavorwelcome_JP.2	「待ってたよ、%onii%ちゃん」
flavorwelcome_EN.0	"%onii%, welcome back!"
flavorwelcome_EN.1	"You're home, %onii%♪"
flavorwelcome_EN.2	"I've been waiting for you, %onii%"
