npcname_JP.	ツインテール
npcname_EN.	twintail
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	辺りは神聖な雰囲気に包まれている。
flavorpassive_JP.1	あなたは何者かの穏やかな視線を感じた。
flavorpassive_JP.2	とても静かで、平和な場所だ。
flavorpassive_JP.3	心の中で、奇妙な祈りの声がこだました。
flavorpassive_EN.0	All around you is the sensation of being in a sacred place
flavorpassive_EN.1	You have seldom felt such an air of peace
flavorpassive_EN.2	All around is very quiet, yet you aren't the least bit lonely
flavorpassive_EN.3	In your mind you hear the strange echoes of a voice in prayer
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	5
numflavor_killEN.	5
flavorkill_JP.0	 *ふしゅぅ* 
flavorkill_JP.1	「ニャァー！」
flavorkill_JP.2	「にゃー」
flavorkill_JP.3	「ゥニャ！」
flavorkill_JP.4	爪を研ぐ音が聞こえる。
flavorkill_EN.0	 *fwhoosh* 
flavorkill_EN.1	"Meoww!"
flavorkill_EN.2	"Meow"
flavorkill_EN.3	"Oo-meow!"
flavorkill_EN.4	You hear the sound of claws being sharpened.
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
