npcname_JP.	銀狼
npcname_EN.	silver wolf
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	辺りは神聖な雰囲気に包まれている。
flavorpassive_JP.1	あなたは何者かの穏やかな視線を感じた。
flavorpassive_JP.2	とても静かで、平和な場所だ。
flavorpassive_JP.3	心の中で、奇妙な祈りの声がこだました。
flavorpassive_EN.0	All around you is the sensation of being in a sacred place
flavorpassive_EN.1	You have seldom felt such an air of peace
flavorpassive_EN.2	All around is very quiet, yet you aren't the least bit lonely
flavorpassive_EN.3	In your mind you hear the strange echoes of a voice in prayer
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
