npcname_JP.	大富豪
npcname_EN.	rich person
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「金か？金が欲しいのか？」
flavorangered_JP.1	「汚い手で触らないでくれるか」
flavorangered_JP.2	「周りの衆、見てないで助けぬか」
flavorangered_JP.3	「金の亡者め！」
flavorangered_EN.0	"Is it money? Do you want money?"
flavorangered_EN.1	"Do NOT touch me with those filthy hands!"
flavorangered_EN.2	"People nearby, can you not help without looking?"
flavorangered_EN.3	"Money monger-ish!"
numflavor_deathJP.	5
numflavor_deathEN.	5
flavordeath_JP.0	「貴様には一銭もやらん…」
flavordeath_JP.1	「なんとまあ」
flavordeath_JP.2	「下衆め」
flavordeath_JP.3	「まだ死にたくないー…ぐぉ」
flavordeath_JP.4	「遺言書いといてよかったわ」
flavordeath_EN.0	"I'm not leaving you my fortune..."
flavordeath_EN.1	"Oh, dear."
flavordeath_EN.2	"You scum."
flavordeath_EN.3	"I don't want to die yet..."
flavordeath_EN.4	"I'm glad I finished writing my will."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「フン」
flavorkill_EN.0	"Tsk"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「帰ってきおったか」
flavorwelcome_EN.0	"So, you're back, huh?"
