npcname_JP.	火の巨人『エボン』
npcname_EN.	<Ebon> the fire giant
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「ぐぉぉぉん」
flavorpassive_EN.0	You hear a bonfire in the distance, only it sounds like it's breathing
numflavor_angeredJP.	5
numflavor_angeredEN.	0
flavorangered_JP.0	「ウフハァ」
flavorangered_JP.1	「グゴガー」
flavorangered_JP.2	「ギャオース！」
flavorangered_JP.3	 *どすん* 
flavorangered_JP.4	 *ドスッ* 
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
