npcname_JP.	特殊部隊
npcname_EN.	palmian elite soldier
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「どこの馬鹿がこいつを放った！」
flavorangered_JP.1	「撃て、撃て、撃ちまくれー！！」
flavorangered_JP.2	「こいつは、ちょっと無理です」
flavorangered_JP.3	「隊長！血が血がー！！」
flavorangered_JP.4	「くそっ。この化け物め！」
flavorangered_JP.5	「なんなんだこの怪物は！」
flavorangered_JP.6	「ひるむな、突撃しろ！」
flavorangered_EN.0	"Who the hell released this monster!"
flavorangered_EN.1	"Fire, fire, fire!"
flavorangered_EN.2	"This is ridiculous."
flavorangered_EN.3	"Blood! My blooood!"
flavorangered_EN.4	"Holy cow!"
flavorangered_EN.5	"What is THIS?"
flavorangered_EN.6	"Go go go!"
numflavor_deathJP.	5
numflavor_deathEN.	5
flavordeath_JP.0	「隊長！もうダメです…」
flavordeath_JP.1	「うぎゃぁぁぁぁぁぁ」
flavordeath_JP.2	「隊長！味方がまた一人やられました！」
flavordeath_JP.3	「ぐふっ」
flavordeath_JP.4	「ふばぼー」
flavordeath_EN.0	"Ok, I'm done."
flavordeath_EN.1	"Arrrrrggghhh!"
flavordeath_EN.2	"Man down! Man down!"
flavordeath_EN.3	"M-Medic!"
flavordeath_EN.4	"We got another man killed!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
