npcname_JP.	伝説の職人『ガロク』
npcname_EN.	<Garok> the legendary smith
numflavor_passiveJP.	7
numflavor_passiveEN.	7
flavorpassive_JP.0	 *トンカン* 
flavorpassive_JP.1	 *カーン* 
flavorpassive_JP.2	 *キン* 
flavorpassive_JP.3	鉄を打つ音が響いている。
flavorpassive_JP.4	「つまらんのう」
flavorpassive_JP.5	「ミラルの奴め、何の役にも立たないものばかり作りおって」
flavorpassive_JP.6	「宝の持ち腐れじゃ」
flavorpassive_EN.0	You hear the rhymthic clang of a hammer on steel
flavorpassive_EN.1	You hear the whoosh of a bellows being pumped
flavorpassive_EN.2	You hear the perfect ring of steel-on-steel. It makes your blood race
flavorpassive_EN.3	"And just what shall you be, oh noble ingot? A dagger perhaps, an axe blade by chance? Let us find out..."
flavorpassive_EN.4	"Ah! A good shipment of steel today. Oh, what to make, decisions, decisions..."
flavorpassive_EN.5	"With this, I have created half a legend. Your wielder will make the other half with you."
flavorpassive_EN.6	"Let's just sit you on the shelf oh noble blade, for soon your brothers shall join you."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
