npcname_JP.	伝説の職人『ミラル』
npcname_EN.	<Miral> the legendary smith
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「今日のご飯はなんにしよう」
flavorpassive_JP.1	「ガロクの作品には遊びがないね」
flavorpassive_JP.2	「暇だぬ」
flavorpassive_JP.3	「おお、客人かな？」
flavorpassive_JP.4	「猫 イズ フリ～ダ～ム♪ 猫 イズ フリ～ダ～ム♪」
flavorpassive_EN.0	"Oh, what to make for dinner."
flavorpassive_EN.1	"All work and no play makes Miral a dull boy."
flavorpassive_EN.2	"There's never enough time in the world to get everything done."
flavorpassive_EN.3	"Guests? Goodness it has been a while indeed."
flavorpassive_EN.4	"I've got a cat I wanna frame! And now nothing shall ever be the same."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
