npcname_JP.	子犬の『ポピー』
npcname_EN.	<Poppy> the little dog
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「くぅ～」
flavorpassive_JP.1	「ぁぅぁぅ」
flavorpassive_JP.2	「ぅ～」
flavorpassive_EN.0	You hear the high pitched yips of a young dog
flavorpassive_EN.1	A plaintive howl is heard in the distance
flavorpassive_EN.2	Rowf!
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「クゥン…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「わん！」
flavorkill_JP.1	「ぁぅぁぅ！」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりワン！」
