npcname_JP.	混沌の寵児『オルフェ』
npcname_EN.	<Orphe> the chaos child
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	何かがクスクスと笑った。
flavorpassive_JP.1	あなたは誰かに見つめられている感じがした。
flavorpassive_EN.0	You hear the sound of someone laughing and snickering.
flavorpassive_EN.1	You feel as if someone is staring at you...
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	オルフェ 「お前がこうすることを、予期していなかったとでも？」
flavorangered_JP.1	オルフェ 「さあ、少しは楽しませてくれ」
flavorangered_EN.0	Orphe says: "Do you think I won't retaliate?"
flavorangered_EN.1	Orphe says: "Come now, make sure to give me at least a little entertainment."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	オルフェ「こんな結末があるとは…」
flavordeath_EN.0	Orphe says: "To think that it would end like this..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	 *クスクス* 
flavorkill_EN.0	 *Snicker* 
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
