npcname_JP.	イェルスエリート機械兵
npcname_EN.	Yerles elite machine infantry
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「撃てぇ！」
flavorangered_JP.1	「弾が尽きるまで撃て！」
flavorangered_JP.2	「虫けらめェ！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「隊長！もうだめです」
flavordeath_JP.1	「メディーック！！」
flavordeath_JP.2	「マンダウン！マンダウン！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ターゲット・ダウン！」
flavorkill_JP.1	「グッドジョブ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
