npcname_JP.	負傷兵『アーノルド』
npcname_EN.	<Arnord> the injured soldier
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「ヤ、ヤツらがくる！」
flavorpassive_JP.1	「撃つのを止めるな…ヤツらを近づけるな！」
flavorpassive_JP.2	「オーマイガッ！」
flavorpassive_JP.3	「神よぉ…」
flavorpassive_EN.0	"Pah, a minor flesh wound..."
flavorpassive_EN.1	"Come closer... I got rounds for this thing still..."
flavorpassive_EN.2	"It's not a tumor!"
flavorpassive_EN.3	"I'll be back."
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「うわぁぁぁ！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「爆死よりはマシか」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「アポ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
