npcname_JP.	猫かぶり『ミーア』
npcname_EN.	<Mia> the cat freak
numflavor_passiveJP.	7
numflavor_passiveEN.	7
flavorpassive_JP.0	「るんるんるん♪」
flavorpassive_JP.1	「うみみゃ？」
flavorpassive_JP.2	「にしし！」
flavorpassive_JP.3	「ふ～んふ～んふ～ん♪1」
flavorpassive_JP.4	「きのこのこのこげんきのこぉ～♪ 」
flavorpassive_JP.5	「おー。えりんぎまいたけぶなしめじぃ～」
flavorpassive_JP.6	「フーン　フンフン　フーン　フンフン　ネコのフ～ン♪　フーン　フンフン　フーン　フンフン　かたい♪」
flavorpassive_EN.0	"I nyo talk funny, nyou talk funny♪"
flavorpassive_EN.1	"Nyah! Water! I hates it so."
flavorpassive_EN.2	"Pug!"
flavorpassive_EN.3	"Nyo touching! No Bump-Bump for nyou."
flavorpassive_EN.4	"♪Nyobody knyows the touble Mia's seen, nyobody knyows Mia's Tru-bull♪"
flavorpassive_EN.5	You hear the oddest voice in the crowd, it is lilting and... cat-like?
flavorpassive_EN.6	"Meow♪!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「はわわ、きっと来世は猫に生まれるんだモン」
flavordeath_EN.0	"Squee... I'll be reborn into the nyext world as a cat."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「アーン、バカ♪」
flavorkill_EN.0	"Ahn, you idiot.♪"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
