npcname_JP.	悩める魔術士『レントン』
npcname_EN.	<Renton> the suffering wizard
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「意味なんてものはないさ」
flavorpassive_JP.1	「身体はまだ動くよ、油の切れた機械のように。だが心は…」
flavorpassive_JP.2	「もし生まれ変われるのなら…」
flavorpassive_JP.3	「もう死んでもいいかな？」
flavorpassive_EN.0	"I mean there's nothing in my soul but pain and misery. Oh, and agony too, can't leave that out..."
flavorpassive_EN.1	"My body will keep moving, like a machine, but without the oils of love, my heart will not stop squeaking..."
flavorpassive_EN.2	You hear the shuffling step of a man whose world is nothing but pain and misery. With just an aftertaste of agony, for good measure
flavorpassive_EN.3	"Will the kiss of Death bring an end to the cloying, double-plus-ungood that is my life?"
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「ああ、わかりやすくていいね」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「死か。別に何も感じない」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「心配するな。生きている価値なんて、もともとこの世界にはないよ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
