npcname_JP.	妖精さん
npcname_EN.	cute fairy
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *パタパタ* 
flavorpassive_JP.1	「にひひ」
flavorpassive_JP.2	 *ハタハタ* 
flavorpassive_EN.0	You hear the fluttering of gossamer wings
flavorpassive_EN.1	You hear tittering laughter like tiny crystal bells
flavorpassive_EN.2	You smell what reminds you of sugerplums...
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
