npcname_JP.	黒天使
npcname_EN.	black angel
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *パタパタ* 
flavorpassive_JP.1	 *ばさっばさっ* 
flavorpassive_JP.2	 *ハタハタ* 
flavorpassive_EN.0	You hear what sounds like feathery wings, but with grace and dignity somehow...
flavorpassive_EN.1	You hear a quiet voice in prayer, but with a note of sadness...
flavorpassive_EN.2	You smell myrrh in the air, but with the faintest hint of charcoal...
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「きゃあ！」
flavordeath_EN.0	"Kyaa!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「地獄に落ちなさい」
flavorkill_JP.1	「いいざまね」
flavorkill_EN.0	"Fall down to hell!"
flavorkill_EN.1	"Well done, right?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
