npcname_JP.	サラブレッド
npcname_EN.	thoroughbred
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *ぱかぱか* 
flavorpassive_JP.1	 *ぱからっぱからっ* 
flavorpassive_JP.2	 *パコパコ* 
flavorpassive_EN.0	 *trot-trot* 
flavorpassive_EN.1	 *clippety-clop* 
flavorpassive_EN.2	 *clip-clop* 
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ひ…ひん…」
flavordeath_EN.0	"Ne...neigh..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ヒヒーン！」
flavorkill_EN.0	"Ne-neigh!"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりヒヒーン！」
flavorwelcome_EN.0	Welcome honeigh!
