npcname_JP.	ザナンの紅の英雄『ロイター』
npcname_EN.	<Loyter> the crimson of Zanan
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	ロイター「…情けないな！」
flavorpassive_JP.1	誰かが呟く声が聞こえる。
flavorpassive_JP.2	ロイター「まだあの男に未練があるのか？」
flavorpassive_EN.0	Loyter grumbles incessantly. "How he sounds so miserable..."
flavorpassive_EN.1	You hear someone muttering sulfurously somewhere
flavorpassive_EN.2	Loyter mutters to himself. "Why are you still attached to him..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「馬鹿な奴だ！」
flavorangered_JP.1	「身の程を思い知らせてやる」
flavorangered_EN.0	"Oh what a jerk."
flavorangered_EN.1	"Die like the maggot you are."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「俺が…奴以外の者に負けるだと？」
flavordeath_EN.0	"You are shit."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「もう終わりか？」
flavorkill_EN.0	"Huh? Done already?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
