npcname_JP.	戦士ギルドの番人『ドリア』
npcname_EN.	<Doria> the fighter watchman
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「この先は戦士ギルドの管轄だ」
flavorpassive_JP.1	「止まれ…身分を照会させてもらう」
flavorpassive_EN.0	"I am an officer of the Fighter Guild's jurisdiction. Beware the weak-thewed."
flavorpassive_EN.1	"Stop... Let me make sure you are on my lists."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
