npcname_JP.	見習い『ミシェス』
npcname_EN.	<Miches> the apprentice
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	小鳥のさえずりのような笑い声がする。
flavorpassive_JP.1	「ねえ、君って面白い顔してるね」
flavorpassive_JP.2	「旅は楽しい？」
flavorpassive_JP.3	「退屈だよ。どこかに連れていって欲しいな」
flavorpassive_EN.0	You hear childish laughter nearby
flavorpassive_EN.1	"You know your face is funny looking. Were you born that way?"
flavorpassive_EN.2	"How are your travels? I'd love to go but I'm stuck here..."
flavorpassive_EN.3	"I'm so bored. Maybe we can play a game of Putits & Yeeks later."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「何するのよ、変態！」
flavorangered_JP.1	「いや！」
flavorangered_EN.0	"You molester!"
flavorangered_EN.1	"Stop it!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「だめぇ…」
flavordeath_EN.0	"N-Nooo..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「なーんだ、弱いじゃない」
flavorkill_EN.0	"You are so weak."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
