npcname_JP.	盗賊団の頭領
npcname_EN.	rogue boss
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	0
flavorangered_JP.0	「イヒヒヒヒ」
flavorangered_JP.1	「もうすぐ殺してあげるよ」
flavorangered_JP.2	「かわいそうに、ウヒャ」
flavorangered_JP.3	「おまえさん、ついてないな」
flavorangered_JP.4	「馬鹿な選択をしたね」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「たちけて」
flavordeath_JP.1	「ひぃぃ、こいつ強い」
flavordeath_JP.2	「命だけは！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ついてなかったな」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
