npcname_JP.	看板娘『シーナ』
npcname_EN.	<Shena> the draw
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「お酒いかが～」
flavorpassive_JP.1	「やだっ。どこ触ってるんですか」
flavorpassive_JP.2	 *ざわざわ* 
flavorpassive_JP.3	盃を交わす音が聞こえる。
flavorpassive_EN.0	"Come on in! The ale is flowing well tonight!"
flavorpassive_EN.1	"Hey! Keep yer stinking hands of the serving ladies!"
flavorpassive_EN.2	The rowdy crowd is making a fair bit of noise tonight
flavorpassive_EN.3	You hear the sound of tankards striking in a toast
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ちょっと飲みすぎですよ！」
flavorangered_JP.1	「いい加減怒りますからね」
flavorangered_EN.0	"You are drinking too much!"
flavorangered_EN.1	"Stop it before I get angry."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「なんであたしがこんな目に…」
flavordeath_EN.0	"Why me?"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「キャー！お客さま、大丈夫ですか？！
flavorkill_EN.0	"Ahhh! Are you alright, sir?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
