npcname_JP.	銀眼の斬殺者
npcname_EN.	silver eyed witch
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「何故私に興味を持つ？怖くは無いのか？」
flavorpassive_JP.1	「やれやれ。ペットを持った気分だ」
flavorpassive_EN.0	"What do I have to fear? You aren't an Abyssal One."
flavorpassive_EN.1	"Good grief, is someone trying to cop a feel?"
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「オマエ…私と同じ目をしているな」
flavorangered_JP.1	「ついてこれるか？」
flavorangered_EN.0	"You... You use the same eyes as I."
flavorangered_EN.1	"Can you keep up?"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ふっ。人のまま死ねて嬉しいよ」
flavordeath_JP.1	「どうせすぐ忘れられる名だ」
flavordeath_EN.0	"Hah. I'm happy to die as a human."
flavordeath_EN.1	"At any rate, my name will be forgotten right away."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「オマエ弱いな。ナンバーはいくつだ？」
flavorkill_JP.1	「優秀だが長く生きすぎたな」
flavorkill_JP.2	「金は要らん。後から取りに来る者がいるから金はその時に渡せばいい」
flavorkill_EN.0	"You're weak huh. What was your number?"
flavorkill_EN.1	"Excellent but, you've lived too long."
flavorkill_EN.2	"I don't want money. Somebody will come pick it up later, you can hand them the money then."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
