npcname_JP.	『ビッグダディ』
npcname_EN.	<Big Daddy>
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	 *ドスン* 
flavorpassive_JP.1	リトルシスター「見てMr Bubbles、天使がいるわ」
flavorpassive_JP.2	リトルシスター「急いでMr Bubbles、空で天使が踊っているの！」
flavorpassive_JP.3	 *ドン* 
flavorpassive_EN.0	You feel the ground tremble with the steps of a large, angry, Protector
flavorpassive_EN.1	Little Sister: "Look Mr. Bubbles, the angels."
flavorpassive_EN.2	Little Sister: "Look Mr. Bubbles, the angels are dancing in the sky!"
flavorpassive_EN.3	You hear the tread of something you do NOT want to anger. Ever.
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	リトルシスター「殺せ！殺せ！」
flavorangered_JP.1	リトルシスター「粉々に砕いちゃいなさい！」
flavorangered_JP.2	リトルシスター「いけMr Bubbles、いけ！！」
flavorangered_EN.0	Little Sister: "Kill! Kill!"
flavorangered_EN.1	Little Sister: "Smash them to pieces!"
flavorangered_EN.2	Little Sister: "Go Mr. Bubbles, go!!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「グウォォォォ！」
flavordeath_EN.0	"Grrrrr!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	リトルシスター「天使の血でお腹を満たすの」
flavorkill_EN.0	Little Sister: "Fill your belly with the blood of an angel."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
